game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-082,DAL,,WAS,W (+8),1,29:11,7,16,.438,3,7,.429,6,7,.857,0,4,4,2,1,1,4,2,23,13.7,+3
2,2019-10-25,24-084,DAL,@,NOP,W (+7),1,29:04,8,17,.471,3,5,.600,5,8,.625,0,4,4,3,0,5,3,5,24,15.9,-3
3,2019-10-27,24-086,DAL,,POR,L (-2),1,34:23,11,23,.478,3,10,.300,7,10,.700,3,6,9,5,0,2,0,4,32,26.3,-7
4,2019-10-29,24-088,DAL,@,DEN,W (+3),1,32:58,4,14,.286,1,8,.125,1,1,1.000,2,12,14,3,0,2,2,1,10,7.9,-3
5,2019-11-01,24-091,DAL,,LAL,L (-9),1,37:25,6,16,.375,1,3,.333,3,6,.500,2,7,9,0,0,0,2,5,16,5.5,-13
6,2019-11-03,24-093,DAL,@,CLE,W (+20),1,31:08,7,14,.500,4,6,.667,0,0,,0,9,9,0,1,6,3,4,18,14.3,+1
7,2019-11-06,24-096,DAL,,ORL,W (+1),1,33:45,4,14,.286,1,5,.200,1,2,.500,1,7,8,1,0,0,2,1,10,2.5,-3
8,2019-11-08,24-098,DAL,,NYK,L (-4),1,35:35,11,22,.500,4,8,.500,2,3,.667,0,9,9,0,0,5,1,6,28,19.4,-4
,2019-11-09,24-099,DAL,@,MEM,W (+16),,,,,,,,,,,,,,,,,,,,,,
9,2019-11-11,24-101,DAL,@,BOS,L (-10),1,19:50,1,11,.091,1,4,.250,1,1,1.000,0,5,5,1,0,1,1,5,4,-3.4,-15
